P_NAME,P_MASS,P_RADIUS,P_GRAVITY,P_DISTANCE,P_FLUX,P_TEMP_EQUIL,P_TYPE_TEMP,P_HABITABLE,P_ESI
Kepler-238 c,,2.38773,,0.069,420.95533,1153.995,Hot,0,0.23896685
Kepler-238 d,,3.07154,,0.115,151.54392,893.88065,Hot,0,0.21488458
Kepler-238 e,169.72015,5.605,5.4023433,,,,,0,
Kepler-238 f,13.348776,1.99538,3.3526654,,,,,0,
Kepler-239 b,,2.33168,,0.095,33.435608,612.62853,Hot,0,0.27647521
Kepler-239 c,,2.51104,,0.268,4.2013305,364.74691,Hot,0,0.46894628
Kepler-24 b,508.5248,2.39894,88.363593,0.08,281.71671,1043.7538,Hot,0,0.23996688
Kepler-24 c,508.5248,2.8025,64.747186,0.106,160.46519,906.75534,Hot,0,0.22537592
Kepler-24 d,,1.67029,,0.051,693.1899,1307.2479,Hot,0,0.27293191
Kepler-24 e,,2.78008,,0.138,94.674802,794.70055,Hot,0,0.23175996
Kepler-240 b,,1.36762,,0.048,131.50137,862.73512,Hot,0,0.29496519
Kepler-240 c,,2.19716,,0.074,55.328551,694.83588,Hot,0,0.26840666
Kepler-241 b,,2.33168,,0.094,22.192403,552.9629,Hot,0,0.29475959
Kepler-241 c,,2.56709,,0.189,5.4895459,389.96804,Hot,0,0.42051534
Kepler-242 b,,2.61193,,0.075,73.083416,744.90282,Hot,0,0.24306509
Kepler-242 c,,1.99538,,0.109,34.600978,617.8983,Hot,0,0.29245984
Kepler-243 b,,2.45499,,0.062,122.85877,848.19645,Hot,0,0.24325899
Kepler-243 c,,1.99538,,0.142,23.4214,560.46451,Hot,0,0.3095861
Kepler-244 b,,2.75766,,0.05,218.24893,979.226,Hot,0,0.22519914
Kepler-244 c,,2.05143,,0.087,72.086446,742.34932,Hot,0,0.2703606
Kepler-244 d,,2.30926,,0.14,27.837873,585.19947,Hot,0,0.28493685
Kepler-245 b,,2.56709,,0.071,76.954253,754.57614,Hot,0,0.24423974
Kepler-245 c,,2.17474,,0.124,25.229344,570.98066,Hot,0,0.29635476
Kepler-245 d,,3.0267,,0.202,9.5070677,447.35939,Hot,0,0.32588481
Kepler-245 e,,1.74876,,,,,,0,
Kepler-246 b,,2.34289,,0.052,167.66978,916.76623,Hot,0,0.24574515
Kepler-246 c,,1.50214,,0.095,50.23591,678.26355,Hot,0,0.30583589
Kepler-247 b,,1.63666,,0.042,203.7287,962.51602,Hot,0,0.27928421
Kepler-247 c,,4.09165,,0.084,50.932176,680.6016,Hot,0,0.19590068
Kepler-247 d,,3.94592,,0.14,18.335583,527.19173,Hot,0,0.23888331
Kepler-248 b,,3.01549,,0.066,102.80788,811.24402,Hot,0,0.22097146
Kepler-248 c,,4.06923,,0.123,29.60084,594.25237,Hot,0,0.21255433
Kepler-249 b,,1.08737,,0.035,27.3108,582.40958,Hot,0,0.34218022
Kepler-249 c,,1.51335,,0.058,9.9452228,452.42702,Hot,0,0.40432766
Kepler-249 d,,1.5694,,0.097,3.5557157,349.8458,Hot,0,0.57349026
Kepler-25 b,8.7402701,2.74645,1.1587279,0.070264787,481.31723,1193.3067,Hot,0,0.2224943
Kepler-25 c,15.223961,5.21265,0.56028699,0.11299016,186.142,941.02891,Hot,0,0.15190586
Kepler-25 d,71.829129,,,0.51546662,9.1729746,441.96344,Hot,0,0.18901462
Kepler-250 b,,1.13221,,0.048,180.87353,934.30498,Hot,0,0.29929595
Kepler-250 c,,2.27563,,0.069,87.53048,779.26422,Hot,0,0.2560295
Kepler-250 d,,2.17474,,0.127,25.837474,574.39073,Hot,0,0.29522047
Kepler-251 b,,1.33399,,0.053,235.59195,998.1252,Hot,0,0.29160682
Kepler-251 c,,2.76887,,0.122,44.462361,657.87448,Hot,0,0.24693041
Kepler-251 d,,2.76887,,0.182,19.9788,538.62594,Hot,0,0.27934158
Kepler-251 e,,2.76887,,0.404,4.0546134,361.51995,Hot,0,0.45894451
Kepler-252 b,,1.2331,,0.058,25.261606,571.16311,Hot,0,0.34258755
Kepler-252 c,,2.15232,,0.08,13.278132,486.32786,Hot,0,0.33928204
Kepler-253 b,,1.62545,,0.046,194.40663,951.31135,Hot,0,0.28014372
Kepler-253 c,,2.64556,,0.089,51.933395,683.92202,Hot,0,0.2484644
Kepler-253 d,,3.17243,,0.13,24.34109,565.88726,Hot,0,0.2518448
Kepler-254 b,,3.86745,,0.064,228.09821,990.09161,Hot,0,0.18462777
Kepler-254 c,,2.15232,,0.105,84.742883,772.98438,Hot,0,0.26260008
Kepler-254 d,,2.49983,,0.139,48.356207,671.82779,Hot,0,0.25694948
Kepler-255 b,,1.54698,,0.063,188.33438,943.79422,Hot,0,0.28407222
Kepler-255 c,,2.99307,,0.092,88.31512,781.00475,Hot,0,0.22383986
Kepler-255 d,,1.32278,,,,,,0,
Kepler-256 b,,1.59182,,0.027,1972.1173,1697.767,Hot,0,0.27539198
